종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,145,KOSDAQ,,**만전자** 상승 기대,452300
광전자,7520.0,+29.88%,259,KOSPI,,노이즈,017900
아크릴,37650.0,+19.33%,232,KOSDAQ,,"시외, 단일가 노이즈",0007C0
프로이천,2900.0,+18.37%,241,KOSDAQ,,매도 압력,321260
풍산홀딩스,54800.0,+15.98%,599,KOSPI,,인수 합병 기대감,005810
창해에탄올,12010.0,+15.93%,633,KOSDAQ,,"자사주 소각, 장외 거래",004650
리센스메디컬,23600.0,+12.38%,228,KOSDAQ,,수출 관련 노이즈,394420
흥구석유,22850.0,+9.86%,810,KOSDAQ,,"개미 투자 심리, 장외 매수",024060
엘앤에프,185000.0,+8.44%,220,KOSPI,,유증 관련 논의,066970
파워넷,5680.0,+8.19%,164,KOSDAQ,5250.0,노이즈,037030
에코프로머티,73100.0,+6.10%,380,KOSPI,,노이즈,450080
한국ANKOR유전,280.0,+4.87%,130,KOSPI,,노이즈,152550
삼성E&A,47800.0,+4.71%,613,KOSPI,,**공매도** 언급,028050
세림B&G,2385.0,+4.61%,136,KOSDAQ,2279.0,노이즈,340440
카카오,46400.0,+3.46%,146,KOSPI,,노이즈,035720
SK하이닉스,916000.0,+3.39%,692,KOSPI,,실적 기대감,000660
한화시스템,131700.0,+3.21%,385,KOSPI,,반등 구간,272210
남선알미늄,2180.0,+2.35%,468,KOSPI,2129.0,**외인 매도** 후 시외 매수,008350
삼성전자,196500.0,+1.76%,1364,KOSPI,193101.0,**트럼프** 관련 언급,005930
우리로,7070.0,+1.73%,290,KOSDAQ,6949.0,장외 동향,046970
대영포장,1288.0,+1.42%,143,KOSPI,1269.0,노이즈,014160
삼성전자우,130900.0,+1.39%,136,KOSPI,129105.0,노이즈,005935
기가레인,2400.0,+0.42%,179,KOSDAQ,2389.0,"삼성전자 연계, 상승 VI",049080
대우건설,17350.0,+0.23%,293,KOSPI,17310.0,**매매 멈춤** 공시,047040
흥아해운,3795.0,+0.13%,629,KOSPI,3790.0,**매수 추천** 언급,003280
후성,9870.0,-0.30%,171,KOSPI,9899.0,노이즈,093370
우리기술,19950.0,-3.16%,327,KOSDAQ,20600.0,"보유 의견, 비교 분석",032820
신성이엔지,3435.0,-3.92%,192,KOSPI,3575.0,**상승** 기대,011930
스코넥,327.0,-5.76%,151,KOSDAQ,346.0,"상폐 우려, 거래 재개",276040
대한광통신,12640.0,-6.99%,421,KOSDAQ,13589.0,상승 기대감,010170
피노,9550.0,-7.55%,303,KOSDAQ,10329.0,**전구체 탈중국** 기대감,033790
보원케미칼,10120.0,-8.58%,464,KOSDAQ,11069.0,"심리 흔들기, 매수 대기",0010F0
다날,7070.0,-9.36%,555,KOSDAQ,7800.0,노이즈,064260
SK오션플랜트,25850.0,-9.77%,421,KOSPI,28649.0,"신용 매도, 맥쿼리 철수",100090
LIG넥스원,,,348,KOSPI,,정보 없음,079550
