종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,146,KOSDAQ,,단타 동호회 물량,452300
광전자,7520.0,+29.88%,261,KOSPI,,최소 가격 및 수요일,017900
아크릴,37650.0,+19.33%,235,KOSDAQ,,매도 압력,0007C0
프로이천,2900.0,+18.37%,245,KOSDAQ,,**상가고 투경** 기대감,321260
풍산홀딩스,54800.0,+15.98%,624,KOSPI,,상승 랠리 기대감,005810
창해에탄올,12010.0,+15.93%,647,KOSDAQ,,**시외 하락** 매수 기회,004650
리센스메디컬,23600.0,+12.38%,230,KOSDAQ,,매수 가격,394420
흥구석유,22850.0,+9.86%,821,KOSDAQ,,**흥구석유** 매수 이유,024060
엘앤에프,185000.0,+8.44%,220,KOSPI,,노이즈,066970
파워넷,5680.0,+8.19%,165,KOSDAQ,5250.0,**협상 결렬** 하락 예상,037030
에코프로머티,73100.0,+6.10%,381,KOSPI,,IRA 생산 촉진 정책,450080
한국ANKOR유전,280.0,+4.87%,130,KOSPI,,분석 불가,152550
삼성E&A,47800.0,+4.71%,605,KOSPI,,**시초가 회복** 및 긍정적 흐름,028050
세림B&G,2385.0,+4.61%,136,KOSDAQ,2279.0,노이즈,340440
카카오,46400.0,+3.46%,146,KOSPI,,노이즈,035720
SK하이닉스,916000.0,+3.39%,710,KOSPI,,**실적 기대감**으로 인한 상승 전망,000660
한화시스템,131700.0,+3.21%,388,KOSPI,,**방공 무기지원** 검토,272210
남선알미늄,2180.0,+2.35%,450,KOSPI,2129.0,**결정의 시간** 앞두고 1차 상승,008350
삼성전자,196500.0,+1.76%,1427,KOSPI,193101.0,실적과 주가 연관성 낮음,005930
우리로,7070.0,+1.73%,290,KOSDAQ,6949.0,노이즈,046970
대영포장,1288.0,+1.42%,146,KOSPI,1269.0,내일 주가 상승 기대감,014160
삼성전자우,130900.0,+1.39%,136,KOSPI,129105.0,노이즈,005935
기가레인,2400.0,+0.42%,181,KOSDAQ,2389.0,노이즈,049080
대우건설,17350.0,+0.23%,291,KOSPI,17310.0,주가 상승 기대감,047040
흥아해운,3795.0,+0.13%,634,KOSPI,3790.0,외국인 매수세 및 전쟁 지속,003280
후성,9870.0,-0.30%,172,KOSPI,9899.0,삼성 하이닉스 주가 하락,093370
우리기술,19950.0,-3.16%,326,KOSDAQ,20600.0,주가 상승 기대감,032820
신성이엔지,3435.0,-3.92%,193,KOSPI,3575.0,노이즈,011930
스코넥,327.0,-5.76%,152,KOSDAQ,346.0,로보쓰리 동향,276040
대한광통신,12640.0,-6.99%,426,KOSDAQ,13589.0,**대한광통신** 주가 토론,010170
피노,9550.0,-7.55%,310,KOSDAQ,10329.0,공매도 노이즈,033790
보원케미칼,10120.0,-8.58%,466,KOSDAQ,11069.0,**보원케미칼** 하락 VI,0010F0
다날,7070.0,-9.36%,559,KOSDAQ,7800.0,**시외 하락** 우려,064260
SK오션플랜트,25850.0,-9.77%,426,KOSPI,28649.0,**신용** 관련 움직임,100090
LIG넥스원,,,348,KOSPI,,토론 없음,079550
