종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
옵티시스,16120.0,+30.00%,89,KOSDAQ,,분석 오류,109080
광전자,7520.0,+29.88%,217,KOSPI,,분석 오류,017900
풍산홀딩스,58200.0,+23.17%,295,KOSPI,,분석 오류,005810
아크릴,38350.0,+21.55%,174,KOSDAQ,,분석 오류,0007C0
프로이천,2950.0,+20.41%,192,KOSDAQ,,분석 오류,321260
진영,2655.0,+19.59%,95,KOSDAQ,,분석 오류,285800
흥구석유,23750.0,+14.18%,597,KOSDAQ,,분석 오류,024060
서울반도체,9840.0,+12.33%,95,KOSDAQ,,분석 오류,046890
세림B&G,2535.0,+11.18%,106,KOSDAQ,,분석 오류,340440
형지엘리트,1048.0,+10.55%,116,KOSPI,,분석 오류,093240
한국ANKOR유전,294.0,+10.11%,106,KOSPI,,분석 오류,152550
엘앤에프,183500.0,+7.56%,399,KOSPI,,분석 오류,066970
창해에탄올,11080.0,+6.95%,275,KOSDAQ,,분석 오류,004650
대영포장,1357.0,+6.85%,104,KOSPI,,분석 오류,014160
에코프로머티,73400.0,+6.53%,346,KOSPI,,분석 오류,450080
보원케미칼,11610.0,+4.88%,282,KOSDAQ,11069.0,분석 오류,0010F0
한화시스템,133200.0,+4.39%,262,KOSPI,,분석 오류,272210
삼성E&A,47650.0,+4.38%,1438,KOSPI,,분석 오류,028050
파워넷,5440.0,+3.62%,110,KOSDAQ,5249.0,분석 오류,037030
카카오,46300.0,+3.23%,230,KOSPI,,분석 오류,035720
한패스,19690.0,+2.71%,94,KOSDAQ,19170.0,분석 오류,408470
LG디스플레이,11240.0,+2.65%,98,KOSPI,,분석 오류,034220
흥아해운,3890.0,+2.64%,530,KOSPI,,분석 오류,003280
우리로,7120.0,+2.45%,507,KOSDAQ,6949.0,분석 오류,046970
에코플라스틱,4100.0,+1.99%,99,KOSDAQ,4020.0,분석 오류,038110
기가레인,2435.0,+1.88%,348,KOSDAQ,2390.0,분석 오류,049080
SK하이닉스,900000.0,+1.58%,1405,KOSPI,886001.0,분석 오류,000660
남선알미늄,2160.0,+1.41%,1012,KOSPI,2129.0,분석 오류,008350
인스코비,483.0,+0.84%,119,KOSPI,478.0,분석 오류,006490
삼성전자,194500.0,+0.73%,2528,KOSPI,193090.0,분석 오류,005930
삼성전자우,129200.0,+0.08%,113,KOSPI,129096.0,분석 오류,005935
대우건설,17200.0,-0.64%,470,KOSPI,17310.0,분석 오류,047040
대한해운,2285.0,-0.87%,101,KOSPI,2305.0,분석 오류,005880
후성,9810.0,-0.91%,242,KOSPI,9900.0,분석 오류,093370
신성이엔지,3465.0,-3.08%,145,KOSPI,3575.0,분석 오류,011930
케이뱅크,5970.0,-3.40%,80,KOSPI,6180.0,분석 오류,279570
에이프로젠,282.0,-4.41%,85,KOSPI,295.0,분석 오류,007460
조일알미늄,1533.0,-4.55%,85,KOSPI,1606.0,분석 오류,018470
우리기술,19660.0,-4.56%,526,KOSDAQ,20599.0,분석 오류,032820
스코넥,327.0,-5.76%,173,KOSDAQ,346.0,분석 오류,276040
대한광통신,12590.0,-7.36%,322,KOSDAQ,13590.0,분석 오류,010170
다날,7150.0,-8.33%,896,KOSDAQ,7799.0,분석 오류,064260
SK오션플랜트,25950.0,-9.42%,328,KOSPI,28648.0,분석 오류,100090
피노,9160.0,-11.33%,217,KOSDAQ,10330.0,분석 오류,033790
Unknown,,,249,KOSPI,,분석 오류,079550
Unknown,,,98,KOSPI,,분석 오류,394420
유투바이오,,,81,KOSDAQ,,분석 오류,221800
