종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,152,KOSDAQ,,노이즈,452300
광전자,7520.0,+29.88%,256,KOSPI,,부자,017900
아크릴,37650.0,+19.33%,240,KOSDAQ,,지수 폭락 우려,0007C0
프로이천,2900.0,+18.37%,251,KOSDAQ,,정보 없음,321260
서울반도체,10300.0,+17.58%,140,KOSDAQ,,"외인 매도, 끝물",046890
풍산홀딩스,54800.0,+15.98%,629,KOSPI,,"말아올릴 각, 매수",005810
창해에탄올,12010.0,+15.93%,684,KOSDAQ,,숨은 호재 기대감,004650
리센스메디컬,23600.0,+12.38%,233,KOSDAQ,,정보 없음,394420
흥구석유,22850.0,+9.86%,832,KOSDAQ,,대주주 매도 경고,024060
엘앤에프,185000.0,+8.44%,233,KOSPI,,"파격 내용, 20만원 기대",066970
파워넷,5680.0,+8.19%,166,KOSDAQ,5250.0,토론 없음,037030
에코프로머티,73100.0,+6.10%,383,KOSPI,,노이즈,450080
한국ANKOR유전,280.0,+4.87%,130,KOSPI,,노이즈,152550
삼성E&A,47800.0,+4.71%,622,KOSPI,,주가 지지,028050
세림B&G,2385.0,+4.61%,141,KOSDAQ,2279.0,정보 없음,340440
카카오,46400.0,+3.46%,150,KOSPI,,신호 대기,035720
SK하이닉스,916000.0,+3.39%,726,KOSPI,,"종전 소식, 보합",000660
한화시스템,131700.0,+3.21%,391,KOSPI,,주도주 분석,272210
남선알미늄,2180.0,+2.35%,455,KOSPI,2129.0,본주 폭등,008350
삼성전자,196500.0,+1.76%,1659,KOSPI,193101.0,투표 및 실적,005930
우리로,7070.0,+1.73%,292,KOSDAQ,6949.0,토론 없음,046970
대영포장,1288.0,+1.42%,148,KOSPI,1269.0,노이즈,014160
삼성전자우,130900.0,+1.39%,136,KOSPI,129105.0,정보 없음,005935
기가레인,2400.0,+0.42%,181,KOSDAQ,2389.0,횡보 예정,049080
대우건설,17350.0,+0.23%,297,KOSPI,17310.0,하락,047040
흥아해운,3795.0,+0.13%,650,KOSPI,3790.0,펜타곤 관련,003280
후성,9870.0,-0.30%,174,KOSPI,9899.0,노이즈,093370
우리기술,19950.0,-3.16%,327,KOSDAQ,20600.0,급등 매수 대기,032820
신성이엔지,3435.0,-3.92%,198,KOSPI,3575.0,내일 주가 상승,011930
스코넥,327.0,-5.76%,154,KOSDAQ,346.0,토론 없음,276040
대한광통신,12640.0,-6.99%,421,KOSDAQ,13589.0,외국인 대량매수,010170
피노,9550.0,-7.55%,316,KOSDAQ,10329.0,노이즈,033790
보원케미칼,10120.0,-8.58%,450,KOSDAQ,11069.0,외국인 수급 확인,0010F0
다날,7070.0,-9.36%,585,KOSDAQ,7800.0,노이즈,064260
SK오션플랜트,25850.0,-9.77%,430,KOSPI,28649.0,개잡주 신용매도,100090
LIG넥스원,,,348,KOSPI,,정보 없음,079550
