종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
옵티시스,16120.0,+30.00%,77,KOSDAQ,,AI 분석 불가,109080
형지글로벌,1222.0,+30.00%,22,KOSDAQ,,AI 분석 불가,308100
앤씨앤,1153.0,+29.99%,16,KOSDAQ,,AI 분석 불가,092600
형지I&C,564.0,+29.95%,36,KOSDAQ,,AI 분석 불가,011080
이노인스트루먼트,2045.0,+29.92%,58,KOSDAQ,,AI 분석 불가,215790
코이즈,2550.0,+29.90%,19,KOSDAQ,,AI 분석 불가,121850
광전자,7520.0,+29.88%,205,KOSPI,,AI 분석 불가,017900
카티스,826.0,+29.87%,21,KOSDAQ,,AI 분석 불가,140430
CS,2430.0,+29.81%,30,KOSDAQ,,AI 분석 불가,065770
모아데이타,1139.0,+26.42%,22,KOSDAQ,,AI 분석 불가,288980
글로본,2590.0,+23.33%,6,KOSDAQ,,AI 분석 불가,019660
리센스메디컬,25600.0,+21.90%,79,KOSDAQ,,AI 분석 불가,394420
넥스트아이,317.0,+17.41%,43,KOSDAQ,,AI 분석 불가,137940
아크릴,36900.0,+16.96%,139,KOSDAQ,,AI 분석 불가,0007C0
진영,2585.0,+16.44%,66,KOSDAQ,,AI 분석 불가,285800
더블유씨피,16300.0,+15.52%,44,KOSDAQ,,AI 분석 불가,393890
프로이천,2785.0,+13.67%,104,KOSDAQ,,AI 분석 불가,321260
지에프아이,14030.0,+13.15%,4,KOSDAQ,,AI 분석 불가,493330
형지엘리트,1071.0,+12.97%,83,KOSPI,,AI 분석 불가,093240
서울반도체,9880.0,+12.79%,87,KOSDAQ,,AI 분석 불가,046890
세림B&G,2555.0,+12.06%,72,KOSDAQ,,AI 분석 불가,340440
앤로보틱스,2185.0,+11.88%,19,KOSDAQ,,AI 분석 불가,138360
흥구석유,23250.0,+11.78%,842,KOSDAQ,,AI 분석 불가,024060
성일하이텍,66900.0,+11.69%,16,KOSDAQ,,AI 분석 불가,365340
새빗켐,27850.0,+10.96%,7,KOSDAQ,,AI 분석 불가,107600
와토스코리아,8840.0,+10.92%,5,KOSDAQ,,AI 분석 불가,079000
한국ANKOR유전,296.0,+10.86%,83,KOSPI,,AI 분석 불가,152550
네패스,21200.0,+10.42%,18,KOSDAQ,,AI 분석 불가,033640
아로마티카,9960.0,+10.30%,11,KOSDAQ,,AI 분석 불가,0015N0
유투바이오,19590.0,+10.30%,32,KOSDAQ,,AI 분석 불가,221800
에이유브랜즈,17590.0,+9.87%,3,KOSDAQ,,AI 분석 불가,481070
한패스,21050.0,+9.81%,67,KOSDAQ,,AI 분석 불가,408470
코웨이,79000.0,+9.12%,19,KOSPI,,AI 분석 불가,021240
덕산하이메탈,11350.0,+8.82%,18,KOSDAQ,,AI 분석 불가,077360
엘앤에프,185300.0,+8.62%,193,KOSPI,,AI 분석 불가,066970
에코프로머티,74700.0,+8.42%,217,KOSPI,,AI 분석 불가,450080
에이치엠넥스,3860.0,+8.12%,39,KOSDAQ,,AI 분석 불가,036170
세운메디칼,3110.0,+7.99%,61,KOSDAQ,,AI 분석 불가,100700
지아이이노베이션,13140.0,+7.97%,16,KOSDAQ,,AI 분석 불가,358570
풍산홀딩스,51000.0,+7.94%,138,KOSPI,,AI 분석 불가,005810
솔브레인홀딩스,51200.0,+7.56%,9,KOSDAQ,,AI 분석 불가,036830
기가레인,2565.0,+7.32%,214,KOSDAQ,,AI 분석 불가,049080
보원케미칼,11870.0,+7.23%,252,KOSDAQ,11069.0,AI 분석 불가,0010F0
달바글로벌,162400.0,+7.05%,19,KOSPI,,AI 분석 불가,483650
롯데케미칼,89000.0,+6.46%,19,KOSPI,,AI 분석 불가,011170
