종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
광전자,7520,+29.88%,241,KOSPI,,광섬유 통신 투자 확대에 대한 기대,017900
창해에탄올,13270,+28.09%,461,KOSDAQ,,"창해에탄올, 유가 하락 어려움 속 바이오에탄올 혼합 허용",004650
아크릴,37750,+19.65%,231,KOSDAQ,,물량 소화에 대한 기대감과 가격 상승 예측이 나타남.,0007C0
풍산홀딩스,54500,+15.34%,430,KOSPI,,"풍산홀딩스, 매도 의견 및 하락 전망으로 부정적 여론 우세",005810
프로이천,2800,+14.29%,206,KOSDAQ,,"프로이천, 상승 기대감 및 애플 관련 호재 언급",321260
흥구석유,22600,+8.65%,717,KOSDAQ,,트럼프 관련 소식과 함께 주가 상승에 대한 기대감이 형성됨.,024060
파워넷,5660,+7.81%,165,KOSDAQ,5249.0,"파워넷, 긍정적/부정적 내용 없이 횡보 가능성 시사",037030
엘앤에프,183300,+7.44%,203,KOSPI,,"엘앤에프, 국내 1위 업체로서 실적 개선 및 긍정적 전망",066970
삼성E&A,48900,+7.12%,528,KOSPI,,주가 방어에 대한 기대와 삼성전자 브랜드 가치,028050
에코프로머티,73700,+6.97%,362,KOSPI,,타사 대비 경쟁력에 대한 언급,450080
세림B&G,2385,+4.61%,131,KOSDAQ,2279.0,"세림B&G, 긍정적 혹은 부정적 내용 없이 감정적 단어만 많음",340440
한화시스템,132400,+3.76%,328,KOSPI,,"한화시스템, 외인 순매수 및 에어로 종목과의 비교 언급",272210
카카오,46350,+3.34%,130,KOSPI,,"카카오, 목표주가 언급 및 폭등 가능성에 대한 기대",035720
LIG넥스원,835000,+3.09%,348,KOSPI,,"LIG넥스원, '퀀텀 점프' 및 최첨단 미사일, 우주 관련 사업 기대감",079550
남선알미늄,2195,+3.05%,419,KOSPI,,미국 알루미늄 가격 상승에 따른 기대감,008350
대영포장,1307,+2.91%,137,KOSPI,,트럼프 정책 발표에 따른 불확실성,014160
SK하이닉스,911000,+2.82%,596,KOSPI,886014.0,"SK하이닉스, 삼전 대비 상승 기대감 및 긍정적 전망",000660
한국ANKOR유전,273,+2.25%,124,KOSPI,266.0,유가 상승 기대감에도 불구하고 상장폐지 우려,152550
우리로,7100,+2.16%,288,KOSDAQ,6949.0,"우리로, 매수 언급 있으나 뚜렷한 호재/악재 부재",046970
기가레인,2430,+1.67%,162,KOSDAQ,2390.0,"기가레인, 장 마감 직전 변동성 언급 및 프로그램 매매 관련 의문",049080
삼성전자,195850,+1.42%,3223,KOSPI,193107.0,서프라이즈 실적 발표와 주가 상승 기대,005930
삼성전자우,130300,+0.93%,127,KOSPI,129099.0,"삼성전자우, 57조 이익 언급 있으나 논란 및 투자자 의견 분분",005935
대우건설,17310,0.00%,289,KOSPI,17310.0,건설 수주 기대감과 주가 상승 전망,047040
후성,9810,-0.91%,144,KOSPI,9900.0,"후성, 전쟁 테마와 연관된 텅스텐 부족 가능성 및 실적 기대감",093370
흥아해운,3735,-1.45%,640,KOSPI,3789.0,주가 하락 속에서 저가 매수 기회 모색,003280
우리기술,19965,-3.08%,297,KOSDAQ,20599.0,주가 상승 및 하락에 대한 기대와 우려가 혼재된 의견.,032820
신성이엔지,3450,-3.50%,164,KOSPI,3575.0,태양광 사업 기대감과 주가 상승 가능성,011930
스코넥,327,-5.76%,200,KOSDAQ,346.0,"스코넥, 30억 규모의 정지 우려 및 매수 희망 언급",276040
대한광통신,12680,-6.70%,380,KOSDAQ,13590.0,"대한광통신, 거래량 없는 하락 속 반등 가능성 및 차트 분석 언급",010170
보원케미칼,10320,-6.78%,376,KOSDAQ,11070.0,"보원케미칼, 상승 기대와 함께 부정적 평가 공존",0010F0
다날,7190,-7.82%,526,KOSDAQ,7799.0,"다날, 미래에셋 대량 순매수 확인 및 긍정적 전망",064260
피노,9520,-7.84%,261,KOSDAQ,10329.0,"피노, 삼성SDI 인수 및 지분 확보 관련 긍정적 뉴스",033790
SK오션플랜트,25800,-9.95%,396,KOSPI,28650.0,"SK오션플랜트, 상장폐지 및 하락 전망 등 극단적인 부정 의견 다수",100090
