종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
광전자,7520,+29.88%,226,KOSPI,,분석 오류,017900
풍산홀딩스,60400,+27.83%,335,KOSPI,,분석 오류,005810
프로이천,3040,+24.08%,208,KOSDAQ,,분석 오류,321260
아크릴,38900,+23.30%,195,KOSDAQ,,분석 오류,0007C0
흥구석유,23550,+13.22%,655,KOSDAQ,,분석 오류,024060
창해에탄올,11650,+12.45%,333,KOSDAQ,,분석 오류,004650
파워넷,5810,+10.67%,137,KOSDAQ,,분석 오류,037030
엘앤에프,183600,+7.62%,407,KOSPI,,분석 오류,066970
에코프로머티,73200,+6.24%,354,KOSPI,,분석 오류,450080
한화시스템,134800,+5.64%,288,KOSPI,,분석 오류,272210
삼성E&A,48150,+5.48%,489,KOSPI,,분석 오류,028050
LIG넥스원,844000,+4.20%,326,KOSPI,,분석 오류,079550
카카오,46400,+3.46%,126,KOSPI,,분석 오류,035720
보원케미칼,11290,+1.99%,338,KOSDAQ,11069.0,분석 오류,0010F0
SK하이닉스,902000,+1.81%,1441,KOSPI,885964.0,분석 오류,000660
우리로,7070,+1.73%,278,KOSDAQ,6949.0,분석 오류,046970
기가레인,2425,+1.46%,138,KOSDAQ,2390.0,분석 오류,049080
흥아해운,3825,+0.92%,567,KOSPI,3790.0,분석 오류,003280
삼성전자,194800,+0.88%,2792,KOSPI,193100.0,분석 오류,005930
남선알미늄,2145,+0.70%,404,KOSPI,2130.0,분석 오류,008350
대우건설,17170,-0.81%,268,KOSPI,17310.0,분석 오류,047040
인스코비,474,-1.04%,125,KOSPI,478.0,분석 오류,006490
후성,9740,-1.62%,248,KOSPI,9900.0,분석 오류,093370
우리기술,19920,-3.30%,557,KOSDAQ,20599.0,분석 오류,032820
신성이엔지,3450,-3.50%,149,KOSPI,3575.0,분석 오류,011930
스코넥,327,-5.76%,185,KOSDAQ,346.0,분석 오류,276040
대한광통신,12480,-8.17%,357,KOSDAQ,13590.0,분석 오류,010170
다날,7150,-8.33%,915,KOSDAQ,7799.0,분석 오류,064260
SK오션플랜트,25750,-10.12%,359,KOSPI,28649.0,분석 오류,100090
피노,9000,-12.88%,228,KOSDAQ,10330.0,분석 오류,033790
