종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,139,KOSDAQ,,"캡스톤파트너스, 보유 예상 및 기업가치 대비 잔량 언급",452300
광전자,7520.0,+29.88%,248,KOSPI,,"광통신 테마 상승 기대감, 매수 대기 물량 증가",017900
프로이천,2925.0,+19.39%,225,KOSDAQ,,"프로이천, 주봉 및 시총 기반 매집 가능성 언급",321260
아크릴,37450.0,+18.70%,249,KOSDAQ,,"매집봉, 프매의 막판 매수 언급",0007C0
창해에탄올,12110.0,+16.89%,576,KOSDAQ,,"창해에탄올, 이슈 및 종가 관련 언급",004650
풍산홀딩스,54500.0,+15.34%,473,KOSPI,,"풍산홀딩스, 한화 인수설 및 1조원 유입 기대감 속 상한가 및 쩜상 가능성 제기",005810
리센스메디컬,23250.0,+10.71%,215,KOSDAQ,,"통증마취 및 약물전달 게임체인저, 기관/연기금/외인 수급 유입",394420
흥구석유,22950.0,+10.34%,771,KOSDAQ,,트럼프 관련 이슈와 함께 주가 상승 기대감,024060
엘앤에프,185000.0,+8.44%,206,KOSPI,,"엘앤에프, 국내 1위 업체로서 2년 반의 기다림 끝에 상승 기대감 고조",066970
파워넷,5670.0,+8.00%,175,KOSDAQ,5250.0,"파워넷, 시총 1조 돌파 및 실적 기대감",037030
진영,2390.0,+7.66%,121,KOSDAQ,2219.0,"진영, 잡주 투자 관련 경고",285800
에코프로머티,73200.0,+6.24%,368,KOSPI,,"단기 급락 및 물림에 대한 우려, 기관 매매 관련 언급",450080
삼성E&A,48050.0,+5.26%,570,KOSPI,,"적정주가 10만원 언급, 중동 재건 사업 수혜 기대",028050
세림B&G,2385.0,+4.61%,139,KOSDAQ,2279.0,"세림B&G, 투자자들의 홀딩 독려와 함께 어려운 시장 상황 속에서도 긍정적 전망 유지",340440
한국ANKOR유전,279.0,+4.49%,128,KOSPI,,특정 종목 언급 및 차단 방법에 대한 질문,152550
카카오,46350.0,+3.34%,139,KOSPI,,"카카오, 실적 부진 및 경영 악화에 대한 부정적 전망과 비관적 의견 대두",035720
SK하이닉스,915000.0,+3.27%,653,KOSPI,,"특정 정치인 언급 및 매수 추천, 종가 예상",000660
한화시스템,131600.0,+3.13%,357,KOSPI,,"한화시스템, 3%대 상승도 긍정적으로 평가하며 관련 계열사 한화에어로스페이스 동반 상승 기대",272210
남선알미늄,2185.0,+2.58%,445,KOSPI,2130.0,"2026년 알루미늄주 상승 기대감, 트럼프 발언 주목",008350
우리로,7070.0,+1.73%,295,KOSDAQ,6949.0,"우리로, 조정 마무리 및 매매 패턴 관련 언급",046970
삼성전자,196300.0,+1.66%,994,KOSPI,193094.0,"삼성전자, 미국 이란 요구 관련 소식과 함께 주가 상승 기대감 및 세계 1위 위상 언급",005930
대영포장,1287.0,+1.34%,140,KOSPI,1269.0,매매 동향에 대한 언급만 있고 구체적인 정보 없음,014160
삼성전자우,130100.0,+0.77%,135,KOSPI,129105.0,"삼성전자우, 최대 영업이익 전망 속 모건스탠리 하이닉스 매수 후 차익실현",005935
기가레인,2400.0,+0.42%,176,KOSDAQ,2389.0,"기가레인, 2535원 진입 후 주가 상승 및 종가 매수 시도, 정지 회피 움직임 관찰",049080
흥아해운,3795.0,+0.13%,618,KOSPI,3790.0,"흥아해운, 4200원 종가 예상하며 투자자들의 응원과 지지 확인",003280
대우건설,17320.0,+0.06%,302,KOSPI,17309.0,주가 상승에 대한 기대감과 명당 자리 언급,047040
후성,9840.0,-0.61%,158,KOSPI,9900.0,종목에 대한 부정적 평가 및 허매수 의혹,093370
우리기술,19960.0,-3.11%,328,KOSDAQ,20600.0,"우리기술, 저항선 돌파 및 가격대 언급",032820
신성이엔지,3440.0,-3.78%,177,KOSPI,3575.0,매매 정지 예정 및 하락 가능성에 대한 우려,011930
스코넥,327.0,-5.76%,129,KOSDAQ,346.0,"스코넥, 상장폐지 가능성에 대한 강한 우려",276040
대한광통신,12720.0,-6.40%,400,KOSDAQ,13589.0,데이터센터 및 천광 프로젝트 관련 긍정적 언급,010170
피노,9520.0,-7.84%,284,KOSDAQ,10329.0,일부 투자자들의 보유 기간 및 매도 가격에 대한 언급,033790
보원케미칼,10190.0,-7.95%,428,KOSDAQ,11070.0,"보원케미칼, 폭락 가능성에 대한 우려",0010F0
다날,7110.0,-8.85%,540,KOSDAQ,7800.0,"다날, 호가창 및 차트 분석 관련 언급",064260
SK오션플랜트,25850.0,-9.77%,394,KOSPI,28649.0,"SK오션플랜트, 외국인 및 기관의 매도세 관찰되며 관망세 짙어져",100090
LIG넥스원,,,348,KOSPI,,데이터 없음,079550
