종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,140,KOSDAQ,,"**주가 상승** 기대, **투자 회수**",452300
광전자,7520.0,+29.88%,254,KOSPI,,차익 실현 매도 관망,017900
아크릴,37650.0,+19.33%,223,KOSDAQ,,노이즈,0007C0
프로이천,2900.0,+18.37%,233,KOSDAQ,,"시외 하락, 단기 과열",321260
풍산홀딩스,54800.0,+15.98%,560,KOSPI,,"매도세 확인, 상승 전망",005810
창해에탄올,12010.0,+15.93%,609,KOSDAQ,,**시외 하한가** 및 **거래량**,004650
리센스메디컬,23600.0,+12.38%,217,KOSDAQ,,기관 연기금 외국인 매수,394420
흥구석유,22850.0,+9.86%,795,KOSDAQ,,기관 매수세 유입,024060
엘앤에프,185000.0,+8.44%,216,KOSPI,,"사모펀드 매도, 개인 매매",066970
파워넷,5680.0,+8.19%,162,KOSDAQ,5250.0,"**세력 이탈** 의혹, **폭락**",037030
에코프로머티,73100.0,+6.10%,376,KOSPI,,"개인 매도, 호재 기대",450080
삼성E&A,47800.0,+4.71%,598,KOSPI,,"주가 회복 기대, 홀딩",028050
세림B&G,2385.0,+4.61%,146,KOSDAQ,2279.0,노이즈,340440
카카오,46400.0,+3.46%,145,KOSPI,,"매매 동향, 주가 전망",035720
SK하이닉스,916000.0,+3.39%,678,KOSPI,,"외국인 순매수, 수급 개선",000660
한화시스템,131700.0,+3.21%,380,KOSPI,,"외인 수급, 주가 상승",272210
남선알미늄,2180.0,+2.35%,458,KOSPI,2129.0,이란 공격 관련 주가 상승,008350
삼성전자,196500.0,+1.76%,1224,KOSPI,193101.0,"40만전자 목표, 투자 전략 논의",005930
우리로,7070.0,+1.73%,303,KOSDAQ,6949.0,**상한가** 후 **외국인 매수**,046970
대영포장,1288.0,+1.42%,142,KOSPI,1269.0,핵심 정보 부재,014160
삼성전자우,130900.0,+1.39%,135,KOSPI,129105.0,노이즈,005935
기가레인,2400.0,+0.42%,175,KOSDAQ,2389.0,"**삼성전자** 연계, **상승 VI**",049080
대우건설,17350.0,+0.23%,290,KOSPI,17310.0,"목표가 제시, 상승 기대",047040
흥아해운,3795.0,+0.13%,623,KOSPI,3790.0,종가 예상 및 응원,003280
후성,9870.0,-0.30%,169,KOSPI,9899.0,"매물 소화, 상한가 근접",093370
우리기술,19950.0,-3.16%,317,KOSDAQ,20600.0,"**고평가 논란**, **주가 하락**",032820
신성이엔지,3435.0,-3.92%,188,KOSPI,3575.0,물린 주주들의 불안감,011930
스코넥,327.0,-5.76%,145,KOSDAQ,346.0,"**의견거절** 우려, **거래정지**",276040
대한광통신,12640.0,-6.99%,418,KOSDAQ,13589.0,"외인 기관 매수, 주가 기대",010170
피노,9550.0,-7.55%,294,KOSDAQ,10329.0,**삼성 SDI 지분** 및 **외국인 매수**,033790
보원케미칼,10120.0,-8.58%,453,KOSDAQ,11069.0,**보호예수** 및 **외인 매수**,0010F0
다날,7070.0,-9.36%,546,KOSDAQ,7800.0,"**국장 최악 종목**, **금감원 신고**",064260
SK오션플랜트,25850.0,-9.77%,416,KOSPI,28649.0,"맥쿼리 철수, 수급 불안",100090
LIG넥스원,,,348,KOSPI,,데이터 없음,079550
