종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,153,KOSDAQ,,시간외 몰빵 매수,452300
광전자,7520.0,+29.88%,259,KOSPI,,경협주 테마,017900
아크릴,37650.0,+19.33%,240,KOSDAQ,,토론 없음,0007C0
프로이천,2900.0,+18.37%,253,KOSDAQ,,세력 매집 의혹,321260
서울반도체,10300.0,+17.58%,143,KOSDAQ,,노이즈,046890
풍산홀딩스,54800.0,+15.98%,635,KOSPI,,노이즈,005810
창해에탄올,12010.0,+15.93%,511,KOSDAQ,,기술적 분석,004650
리센스메디컬,23600.0,+12.38%,232,KOSDAQ,,연기금 외국인 매수,394420
흥구석유,22850.0,+9.86%,844,KOSDAQ,,시간외 몰빵 매수,024060
엘앤에프,185000.0,+8.44%,222,KOSPI,,실적 모멘텀,066970
파워넷,5680.0,+8.19%,168,KOSDAQ,5250.0,종목 관련 긍정적 언급,037030
에코프로머티,73100.0,+6.10%,383,KOSPI,,정보 없음,450080
한국ANKOR유전,280.0,+4.87%,133,KOSPI,,노이즈,152550
삼성E&A,47800.0,+4.71%,628,KOSPI,,시초가 회복,028050
세림B&G,2385.0,+4.61%,142,KOSDAQ,2279.0,가격 폭등,340440
카카오,46400.0,+3.46%,145,KOSPI,,개인 의견 분분,035720
SK하이닉스,916000.0,+3.39%,729,KOSPI,,노이즈,000660
한화시스템,131700.0,+3.21%,391,KOSPI,,토론 없음,272210
남선알미늄,2180.0,+2.35%,456,KOSPI,2129.0,알루미늄 가격,008350
삼성전자,196500.0,+1.76%,1723,KOSPI,193101.0,환율 하락,005930
우리로,7070.0,+1.73%,296,KOSDAQ,6949.0,시외 저가 매수 기회,046970
대영포장,1288.0,+1.42%,139,KOSPI,1269.0,상한가 기대감,014160
삼성전자우,130900.0,+1.39%,136,KOSPI,129105.0,토론 없음,005935
기가레인,2400.0,+0.42%,185,KOSDAQ,2389.0,악재 공시 루머,049080
대우건설,17350.0,+0.23%,301,KOSPI,17310.0,주식소각 공시,047040
흥아해운,3795.0,+0.13%,646,KOSPI,3790.0,종가 예상,003280
후성,9870.0,-0.30%,176,KOSPI,9899.0,매도 가능 문의,093370
우리기술,19950.0,-3.16%,327,KOSDAQ,20600.0,기대감 상승,032820
신성이엔지,3435.0,-3.92%,199,KOSPI,3575.0,노이즈,011930
스코넥,327.0,-5.76%,154,KOSDAQ,346.0,토론 없음,276040
대한광통신,12640.0,-6.99%,422,KOSDAQ,13589.0,버텨라,010170
피노,9550.0,-7.55%,318,KOSDAQ,10329.0,삼성 투자 언급,033790
보원케미칼,10120.0,-8.58%,456,KOSDAQ,11069.0,시간외 폭락 및 주포 의혹,0010F0
다날,7070.0,-9.36%,588,KOSDAQ,7800.0,서비스 론칭 기대감,064260
SK오션플랜트,25850.0,-9.77%,433,KOSPI,28649.0,상한가 종가 지지 기대,100090
LIG넥스원,,,348,KOSPI,,토론 없음,079550
