종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
광전자,7520.0,+29.88%,241,KOSPI,,분석할 내용 없음.,017900
창해에탄올,12480.0,+20.46%,536,KOSDAQ,,"창해에탄올, 상승 기대감 속 국내 에탄올 혼합 휘발유 허가 여부 언급",004650
아크릴,37850.0,+19.97%,244,KOSDAQ,,유통물량 언급 외 긍정/부정적 근거 없는 추측성 발언.,0007C0
프로이천,2860.0,+16.73%,221,KOSDAQ,,"프로이천, 초보 투자자 주의 언급, 막판 움직임 포착",321260
풍산홀딩스,53900.0,+14.07%,480,KOSPI,,"풍산홀딩스, 이유있는 움직임으로 막판 움직임 시작",005810
흥구석유,23000.0,+10.58%,766,KOSDAQ,,"흥구석유, 물량 소화 후 상승 기대, 기똥찬 내용 확인",024060
리센스메디컬,23150.0,+10.24%,216,KOSDAQ,,"기관/연기금/외인 수급 언급 있으나, 전반적으로 부정적 감정만 표출.",394420
파워넷,5690.0,+8.38%,170,KOSDAQ,,"파워넷, 순이익 대비 시총 저평가 의견, 매도 물량 언급",037030
엘앤에프,184100.0,+7.91%,205,KOSPI,,"엘앤에프, 국내 1위 업체로 2년 반의 기다림",066970
에코프로머티,73200.0,+6.24%,363,KOSPI,,"타사 종목 언급, 분석할 내용 없음.",450080
삼성E&A,48250.0,+5.70%,553,KOSPI,,중동 전후 복구 사업 및 신규 프로젝트 언급.,028050
세림B&G,2395.0,+5.04%,136,KOSDAQ,2280.0,"세림B&G, 탈출 힘들어 보이며 개미 매도 언급",340440
한국ANKOR유전,279.0,+4.49%,128,KOSPI,,매수 추천이나 특별한 근거 없는 내용.,152550
SK하이닉스,918000.0,+3.61%,629,KOSPI,,"SK하이닉스, 외국인 수급 변화와 목표가 제시",000660
카카오,46350.0,+3.34%,136,KOSPI,,"카카오, 구글맵 협약 발표 기대 및 매수 관련 언급",035720
한화시스템,131700.0,+3.21%,347,KOSPI,,"한화시스템, 프로그램 매수와 개미 투자자들의 매도",272210
남선알미늄,2195.0,+3.05%,433,KOSPI,2130.0,이란 관련 언급과 함께 긍정적인 전망 제시.,008350
대영포장,1302.0,+2.52%,138,KOSPI,1269.0,"무의미한 단어 포함, 분석할 내용 없음.",014160
우리로,7100.0,+2.16%,293,KOSDAQ,6949.0,"우리로, 타점 언급, 다른 광통신주 비교",046970
삼성전자,196800.0,+1.92%,3403,KOSPI,193092.0,미국 이란 관련 뉴스 속보와 20만전자 기대감.,005930
삼성전자우,130600.0,+1.16%,131,KOSPI,129102.0,"삼성전자우, 신고가 경신 시점에서의 움직임",005935
기가레인,2400.0,+0.42%,170,KOSDAQ,2389.0,"기가레인, 상한가 예상 및 주가 흔들림 언급",049080
대우건설,17330.0,+0.12%,300,KOSPI,17309.0,공매도 관련 언급 외 특별한 내용 없음.,047040
흥아해운,3775.0,-0.40%,610,KOSPI,3790.0,"흥아해운, 종가 예상 및 응원 메시지",003280
후성,9790.0,-1.11%,150,KOSPI,9899.0,"주가 하락 및 탈출 언급, 특별한 호재 없음.",093370
우리기술,19980.0,-3.01%,311,KOSDAQ,20600.0,"우리기술, 2만 돌파 및 긍정적 전망 언급",032820
신성이엔지,3445.0,-3.64%,174,KOSPI,3575.0,외국인 매수 동향에 대한 문의와 주가 하락 언급.,011930
스코넥,327.0,-5.76%,125,KOSDAQ,346.0,"스코넥, 실체 불분명 기업사냥꾼 및 상폐 우려 제기",276040
대한광통신,12700.0,-6.55%,405,KOSDAQ,13590.0,"대한광통신, 과거 고점 언급, 긍정적 내용 확인 요청",010170
보원케미칼,10310.0,-6.87%,401,KOSDAQ,11070.0,"보원케미칼, 장대음봉 회피 희망, 시외 폭락 주의",0010F0
다날,7140.0,-8.46%,532,KOSDAQ,7799.0,"다날, 거래량 동반 장대음봉 발생, 개미 물량 소화 논쟁",064260
피노,9420.0,-8.81%,272,KOSDAQ,10330.0,"테슬라 데이터센터 관련 언급 있으나, 전반적으로 감정적 의견만 존재.",033790
SK오션플랜트,25700.0,-10.30%,388,KOSPI,28651.0,"SK오션플랜트, 신재생 에너지 테마 언급",100090
LIG넥스원,,,348,KOSPI,,관련 게시글이 없어 분석 불가.,079550
