종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,141,KOSDAQ,,"시간외 상한가, 속보",452300
광전자,7520.0,+29.88%,248,KOSPI,,데이터 없음,017900
아크릴,37650.0,+19.33%,219,KOSDAQ,,**기술 검증** 기대감,0007C0
프로이천,2900.0,+18.37%,228,KOSDAQ,,**주가 상승** 기대,321260
풍산홀딩스,54800.0,+15.98%,484,KOSPI,,"투매, 주가 움직임",005810
창해에탄올,12010.0,+15.93%,585,KOSDAQ,,"발표 예정, 매매 고민",004650
리센스메디컬,23600.0,+12.38%,215,KOSDAQ,,**기관/외인** 매수 유입,394420
흥구석유,22850.0,+9.86%,781,KOSDAQ,,"시외 상승, 호재",024060
진영,2410.0,+8.56%,121,KOSDAQ,,내용 없음,285800
엘앤에프,185000.0,+8.44%,210,KOSPI,,**복구 후 매도** 고민,066970
파워넷,5680.0,+8.19%,175,KOSDAQ,5250.0,내용 없음,037030
에코프로머티,73100.0,+6.10%,368,KOSPI,,데이터 없음,450080
한국ANKOR유전,280.0,+4.87%,128,KOSPI,,데이터 없음,152550
삼성E&A,47800.0,+4.71%,575,KOSPI,,안정적 투자,028050
세림B&G,2385.0,+4.61%,140,KOSDAQ,2279.0,부정적 언급,340440
카카오,46400.0,+3.46%,139,KOSPI,,게시물 없음,035720
SK하이닉스,916000.0,+3.39%,636,KOSPI,,실적 장기화 기대,000660
한화시스템,131700.0,+3.21%,359,KOSPI,,**프매수 추가** 확인,272210
남선알미늄,2180.0,+2.35%,447,KOSPI,2129.0,노이즈,008350
삼성전자,196500.0,+1.76%,1019,KOSPI,193101.0,"노조, 반도체 주가",005930
우리로,7070.0,+1.73%,296,KOSDAQ,6949.0,차트 발사대,046970
대영포장,1288.0,+1.42%,140,KOSPI,1269.0,데이터 없음,014160
삼성전자우,130900.0,+1.39%,135,KOSPI,129105.0,게시물 없음,005935
기가레인,2400.0,+0.42%,177,KOSDAQ,2389.0,언급 부족,049080
대우건설,17350.0,+0.23%,300,KOSPI,17310.0,**매수세 유입** 기대감,047040
흥아해운,3795.0,+0.13%,617,KOSPI,3790.0,**종가 예상** 및 응원,003280
후성,9870.0,-0.30%,159,KOSPI,9899.0,노이즈,093370
우리기술,19950.0,-3.16%,329,KOSDAQ,20600.0,노이즈,032820
신성이엔지,3435.0,-3.92%,177,KOSPI,3575.0,데이터 없음,011930
스코넥,327.0,-5.76%,131,KOSDAQ,346.0,"물림, 호재 기대",276040
대한광통신,12640.0,-6.99%,401,KOSDAQ,13589.0,"오늘 선방, 추천 0",010170
피노,9550.0,-7.55%,285,KOSDAQ,10329.0,노이즈,033790
보원케미칼,10120.0,-8.58%,432,KOSDAQ,11069.0,"시간외 하한가, 노이즈",0010F0
다날,7070.0,-9.36%,541,KOSDAQ,7800.0,신규 주주 궁금증,064260
SK오션플랜트,25850.0,-9.77%,397,KOSPI,28649.0,**맥쿼리 철수** 우려,100090
LIG넥스원,,,348,KOSPI,,정보 없음,079550
