종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
형지글로벌,1222.0,+30.00%,25,KOSDAQ,,AI 분석 불가,308100
옵티시스,16120.0,+30.00%,90,KOSDAQ,,AI 분석 불가,109080
앤씨앤,1153.0,+29.99%,16,KOSDAQ,,AI 분석 불가,092600
형지I&C,564.0,+29.95%,38,KOSDAQ,,AI 분석 불가,011080
이노인스트루먼트,2045.0,+29.92%,61,KOSDAQ,,AI 분석 불가,215790
코이즈,2550.0,+29.90%,19,KOSDAQ,,AI 분석 불가,121850
광전자,7520.0,+29.88%,218,KOSPI,,AI 분석 불가,017900
카티스,826.0,+29.87%,23,KOSDAQ,,AI 분석 불가,140430
CS,2430.0,+29.81%,32,KOSDAQ,,AI 분석 불가,065770
모아데이타,1159.0,+28.63%,21,KOSDAQ,,AI 분석 불가,288980
글로본,2685.0,+27.86%,6,KOSDAQ,,AI 분석 불가,019660
풍산홀딩스,58600.0,+24.02%,240,KOSPI,,AI 분석 불가,005810
진영,2735.0,+23.20%,78,KOSDAQ,,AI 분석 불가,285800
프로이천,2980.0,+21.63%,173,KOSDAQ,,AI 분석 불가,321260
창해에탄올,12570.0,+21.33%,124,KOSDAQ,,AI 분석 불가,004650
앤로보틱스,2295.0,+17.51%,32,KOSDAQ,,AI 분석 불가,138360
넥스트아이,315.0,+16.67%,44,KOSDAQ,,AI 분석 불가,137940
MH에탄올,5580.0,+16.01%,44,KOSPI,,AI 분석 불가,023150
풍국주정,12260.0,+15.55%,26,KOSDAQ,,AI 분석 불가,023900
아크릴,36000.0,+14.10%,146,KOSDAQ,,AI 분석 불가,0007C0
세림B&G,2590.0,+13.60%,83,KOSDAQ,,AI 분석 불가,340440
더블유씨피,15950.0,+13.04%,53,KOSDAQ,,AI 분석 불가,393890
서울반도체,9880.0,+12.79%,98,KOSDAQ,,AI 분석 불가,046890
형지엘리트,1061.0,+11.92%,96,KOSPI,,AI 분석 불가,093240
파라택시스코리아,478.0,+11.42%,42,KOSDAQ,,AI 분석 불가,288330
흥구석유,23150.0,+11.30%,515,KOSDAQ,,AI 분석 불가,024060
지에프아이,13800.0,+11.29%,4,KOSDAQ,,AI 분석 불가,493330
네패스,21350.0,+11.20%,19,KOSDAQ,,AI 분석 불가,033640
