종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
광전자,7520,+29.88%,220,KOSPI,,분석 오류,017900
풍산홀딩스,59000,+24.87%,319,KOSPI,,분석 오류,005810
프로이천,3005,+22.65%,204,KOSDAQ,,분석 오류,321260
아크릴,38300,+21.39%,190,KOSDAQ,,분석 오류,0007C0
창해에탄올,12090,+16.70%,304,KOSDAQ,,분석 오류,004650
흥구석유,23600,+13.46%,629,KOSDAQ,,분석 오류,024060
엘앤에프,183200,+7.39%,405,KOSPI,,분석 오류,066970
에코프로머티,73300,+6.39%,350,KOSPI,,분석 오류,450080
한화시스템,134200,+5.17%,280,KOSPI,,분석 오류,272210
삼성E&A,47525,+4.11%,475,KOSPI,,분석 오류,028050
카카오,46200,+3.01%,120,KOSPI,,분석 오류,035720
LIG넥스원,832000,+2.72%,314,KOSPI,,분석 오류,079550
흥아해운,3880,+2.37%,548,KOSPI,3790.0,분석 오류,003280
우리로,7070,+1.73%,273,KOSDAQ,6949.0,분석 오류,046970
SK하이닉스,900000,+1.58%,1422,KOSPI,886001.0,분석 오류,000660
기가레인,2425,+1.46%,138,KOSDAQ,2390.0,분석 오류,049080
보원케미칼,11220,+1.36%,312,KOSDAQ,11069.0,분석 오류,0010F0
남선알미늄,2150,+0.94%,392,KOSPI,2129.0,분석 오류,008350
삼성전자,194300,+0.62%,2696,KOSPI,193102.0,분석 오류,005930
대우건설,17100,-1.21%,259,KOSPI,17309.0,분석 오류,047040
후성,9750,-1.52%,246,KOSPI,9900.0,분석 오류,093370
우리기술,19910,-3.35%,543,KOSDAQ,20600.0,분석 오류,032820
신성이엔지,3450,-3.50%,147,KOSPI,3575.0,분석 오류,011930
인스코비,461,-3.76%,123,KOSPI,479.0,분석 오류,006490
스코넥,327,-5.76%,182,KOSDAQ,346.0,분석 오류,276040
대한광통신,12600,-7.28%,341,KOSDAQ,13589.0,분석 오류,010170
다날,7110,-8.85%,903,KOSDAQ,7800.0,분석 오류,064260
SK오션플랜트,25850,-9.77%,351,KOSPI,28649.0,분석 오류,100090
피노,9030,-12.58%,222,KOSDAQ,10329.0,분석 오류,033790
