종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,150,KOSDAQ,,"상한가, **차트**",452300
광전자,7520.0,+29.88%,255,KOSPI,,광통신 급등 및 실리콘 포토닉스,017900
아크릴,37650.0,+19.33%,239,KOSDAQ,,노이즈,0007C0
프로이천,2900.0,+18.37%,251,KOSDAQ,,주가 흐름 및 비교,321260
서울반도체,10300.0,+17.58%,137,KOSDAQ,,실리콘포토닉스 사업 기대감,046890
풍산홀딩스,54800.0,+15.98%,608,KOSPI,,"**인수 합병** 기대감, **대기업**",005810
창해에탄올,12010.0,+15.93%,677,KOSDAQ,,"**바이오에탄올**, **급등락**",004650
리센스메디컬,23600.0,+12.38%,233,KOSDAQ,,기관/외인 수급 및 신사업 기대감,394420
흥구석유,22850.0,+9.86%,823,KOSDAQ,,유가 상승 관련 기대감,024060
엘앤에프,185000.0,+8.44%,226,KOSPI,,매매동향 및 상승 전망,066970
파워넷,5680.0,+8.19%,166,KOSDAQ,5250.0,"노이즈, **안티**",037030
에코프로머티,73100.0,+6.10%,382,KOSPI,,"3, 4 공장 완공 기대감",450080
한국ANKOR유전,280.0,+4.87%,130,KOSPI,,정보 없음,152550
삼성E&A,47800.0,+4.71%,618,KOSPI,,트럼프 관련 불확실성 속 기대,028050
세림B&G,2385.0,+4.61%,141,KOSDAQ,2279.0,전쟁 이슈 및 투자 심리,340440
카카오,46400.0,+3.46%,149,KOSPI,,노이즈,035720
SK하이닉스,916000.0,+3.39%,721,KOSPI,,외국인 수급 및 실적 기대감,000660
한화시스템,131700.0,+3.21%,390,KOSPI,,정치적 이슈 영향,272210
남선알미늄,2180.0,+2.35%,454,KOSPI,2129.0,알루미늄 가격 상승 및 수급 기대,008350
삼성전자,196500.0,+1.76%,1599,KOSPI,193101.0,실적 호조 및 전쟁 영향 제한,005930
우리로,7070.0,+1.73%,292,KOSDAQ,6949.0,"노이즈, **이란 전면전**",046970
대영포장,1288.0,+1.42%,148,KOSPI,1269.0,거래량 및 상황 파악 필요,014160
삼성전자우,130900.0,+1.39%,136,KOSPI,129105.0,노이즈,005935
기가레인,2400.0,+0.42%,180,KOSDAQ,2389.0,AI 반도체 관련 기대,049080
대우건설,17350.0,+0.23%,296,KOSPI,17310.0,시외 하락 및 주가 방어,047040
흥아해운,3795.0,+0.13%,646,KOSPI,3790.0,장대음봉 및 하방 압력 우려,003280
후성,9870.0,-0.30%,173,KOSPI,9899.0,매물 소화 및 급등 기대감,093370
우리기술,19950.0,-3.16%,325,KOSDAQ,20600.0,주가 상승 기대감 및 보유자 현황,032820
신성이엔지,3435.0,-3.92%,197,KOSPI,3575.0,주주연대 및 광전자 3연상 기대,011930
스코넥,327.0,-5.76%,154,KOSDAQ,346.0,"손절, **매도**",276040
대한광통신,12640.0,-6.99%,419,KOSDAQ,13589.0,"예측, **종가**",010170
피노,9550.0,-7.55%,315,KOSDAQ,10329.0,"유증, **폭락**",033790
보원케미칼,10120.0,-8.58%,448,KOSDAQ,11069.0,"하한가, **품절주**",0010F0
다날,7070.0,-9.36%,577,KOSDAQ,7800.0,"노이즈, 주가조작 의혹, **찌라시**",064260
SK오션플랜트,25850.0,-9.77%,436,KOSPI,28649.0,수주 기대감 및 주가 상승,100090
LIG넥스원,,,348,KOSPI,,정보 없음,079550
