종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,143,KOSDAQ,,**신규 재료** 부각,452300
광전자,7520.0,+29.88%,257,KOSPI,,상한가 안착,017900
아크릴,37650.0,+19.33%,226,KOSDAQ,,**글로벌 톱티어 클라우드**,0007C0
프로이천,2900.0,+18.37%,237,KOSDAQ,,투경 및 시외 정리,321260
풍산홀딩스,54800.0,+15.98%,589,KOSPI,,경쟁입찰 가능성,005810
창해에탄올,12010.0,+15.93%,617,KOSDAQ,,**시간외 상한가** 기대,004650
리센스메디컬,23600.0,+12.38%,224,KOSDAQ,,**외인매집**,394420
흥구석유,22850.0,+9.86%,803,KOSDAQ,,"노이즈, **시간외** 관심",024060
엘앤에프,185000.0,+8.44%,217,KOSPI,,유상증자 가능성,066970
파워넷,5680.0,+8.19%,164,KOSDAQ,5250.0,"노이즈, **관계없음**",037030
에코프로머티,73100.0,+6.10%,378,KOSPI,,노이즈,450080
한국ANKOR유전,280.0,+4.87%,130,KOSPI,,시간 언급,152550
삼성E&A,47800.0,+4.71%,610,KOSPI,,수급 기대감,028050
세림B&G,2385.0,+4.61%,135,KOSDAQ,2279.0,"매도 압력, **실망 매물**",340440
카카오,46400.0,+3.46%,146,KOSPI,,정보 기반 투자,035720
SK하이닉스,916000.0,+3.39%,685,KOSPI,,주가 하락 가능성,000660
한화시스템,131700.0,+3.21%,383,KOSPI,,공시 기대,272210
남선알미늄,2180.0,+2.35%,464,KOSPI,2129.0,노이즈,008350
삼성전자,196500.0,+1.76%,1308,KOSPI,193101.0,목표가 상향,005930
우리로,7070.0,+1.73%,289,KOSDAQ,6949.0,"**광통신주** 거래정지, **외국인 매수**",046970
대영포장,1288.0,+1.42%,143,KOSPI,1269.0,장중 고생 언급,014160
삼성전자우,130900.0,+1.39%,136,KOSPI,129105.0,노이즈,005935
기가레인,2400.0,+0.42%,176,KOSDAQ,2389.0,**삼성전자 연관** 상승 기대감,049080
대우건설,17350.0,+0.23%,290,KOSPI,17310.0,데이터 없음,047040
흥아해운,3795.0,+0.13%,626,KOSPI,3790.0,하방 추세 우려,003280
후성,9870.0,-0.30%,171,KOSPI,9899.0,노이즈,093370
우리기술,19950.0,-3.16%,324,KOSDAQ,20600.0,"**원전주** 관심, **시외 상승**",032820
신성이엔지,3435.0,-3.92%,191,KOSPI,3575.0,노이즈,011930
스코넥,327.0,-5.76%,146,KOSDAQ,346.0,"노이즈, **추가 매수**",276040
대한광통신,12640.0,-6.99%,419,KOSDAQ,13589.0,대장주 교체,010170
피노,9550.0,-7.55%,301,KOSDAQ,10329.0,**삼성SDI 지분투자** 기대감,033790
보원케미칼,10120.0,-8.58%,459,KOSDAQ,11069.0,매출 증대 및 시외상,0010F0
다날,7070.0,-9.36%,552,KOSDAQ,7800.0,노이즈,064260
SK오션플랜트,25850.0,-9.77%,416,KOSPI,28649.0,신용 매물 **정리**,100090
LIG넥스원,,,348,KOSPI,,노이즈,079550
