시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,478340,나라스페이스테크놀로지,44050,,16499,,+166.97%,800,나락스페이스... / 38%수익중인디...ㅜ[2] / 5만 못넘을것같은데 ㅜㅜ[1],Negative (51%),"최초., 제2의, ...",False
KOSPI,452260,한화갤러리아,1443,1.39%,1089,1.53%,+30.00%,159,상 치고 8000000만주매도 ㅋㅋㅋ... / 상한번쳤다고 / 실체없는 재료ㅋㅋ,Negative (56%),"상한가, 이상, 상승했어요",False
KOSDAQ,306040,에스제이그룹,8320,2.95%,4930,4.49%,+30.00%,167,에스제이 다음은 / 서울시장 후보 정원오 관련주 / 뭐여. 만원은 그냥 가것는디.,Positive (76%),"정원오, 대장주, 동양고속",False
KOSDAQ,317240,TS트릴리온,340,2.97%,266,3.87%,+29.77%,99,"상에 던진 이유. 프로그램이 말아올린상한가.[2] / 폭락한다. 탈모가 무슨 지원금이야  ㅋㅋㅋㅋㅋ... / 재작년 2,690원이 최고가",Positive (80%),"탈모, 이상, 상승했어요",False
KOSDAQ,330350,위더스제약,10750,1.47%,6730,2.05%,+23.00%,244,딱 보이   한방 더 하겠네   대머리 뚜껑 ... / 너만 못갓따 / 집어 던지려고 모으냐,Positive (77%),"탈모, 위더스, 위더스제약",False
KOSDAQ,191410,육일씨엔에쓰,3050,1.22%,2600,0.99%,+21.03%,83,새로운인물 정원오 6천원 갈건데 왜팔아~~ / 에라이 부대장인줄 알았드만 / 정원오입니다(관련주 3선),Mixed,"(((, 정원오, 어제",False
KOSDAQ,003310,대주산업,2640,2.10%,2200,3.96%,+18.12%,199,주포작전실패ㅋㅋㅋㅋㅋㅋ / 빠진다햇자누 / 순위가 정해졌네,Positive (75%),"오늘, 상한가, 정원오",False
KOSDAQ,067290,JW신약,2225,2.00%,1500,2.15%,+17.60%,101,무진메디랑 탈모약 개발하네[1] / 위아래로 매집하고 올린거보소 / 상 가즈아~~~~[1],Positive (75%),"이상, 상승했어요, 매도",False
KOSDAQ,464490,쿼드메디슨,22350,0.28%,17060,0.08%,+10.37%,276,아까폭락해서 500날렸는데 / 이정도면 조작아니냐? / 형은 매수 해 두고 간다. 매수한 사람은 2...,Positive (66%),"..., 개잡주, 오늘",False
KOSDAQ,319400,현대무벡스,12780,1.02%,11650,1.36%,+7.39%,295,여기 주포도 참 멍청하네[1] / 마지막.탈출기회[1] / 역시 약속의 오후 1시 ㅋ,Negative (54%),"오늘, 신한, 어제",False
KOSDAQ,038500,삼표시멘트,5060,1.44%,5390,1.73%,+4.33%,333,여기애들은 뭔 시총도 보지도 않고[1] / 대주산업간다 / 맨 꼭대기,Positive (65%),"정원오, ..., 단타",False
KOSPI,204320,HL만도,54300,21.78%,52400,23.19%,+4.02%,113,광개토대왕 장 후반 리딩합니다.[2] / 절반 잽성[1] / 꼬시기ㅡㅡ[1],Positive (61%),"만도, 오늘, 익절",False
KOSPI,015760,한국전력,51800,23.00%,50000,22.99%,+2.98%,64,어제 밤 미국장 한국전력 주가 현황[1] / 한전 수익률이 102%인데[1] / 백조전력,Positive (55%),"유가, 한국전력, 오늘",False
KOSPI,005930,삼성전자,105800,52.07%,104800,52.11%,+2.92%,684,지금 외인 매수세 얼마되지도 않는데 / 삼성전자가 타 주식 대비 극극 저평가된 ... / ◆내수도결국 1주택만 면세해 망해감◆,Positive (61%),"..., 환율, ㄱㄱㄱㄱㄱ",False
KOSPI,007660,이수페타시스,127300,30.19%,130800,29.68%,+2.74%,173,"29년차)드뎌 127,500 본전에[2] / 아직 점심시간에 시켜놓은 김치찌게 식지... / 156600원 올 연말에 뚫고 새해 시...",Positive (60%),"오늘, 반도체, 이수페타시스",False
KOSDAQ,038460,바이오스마트,3735,3.27%,3970,3.00%,+0.40%,72,"목표가 : 10,000원 주포형님 큰절... / 다 오르는데 / 단타 맛집이라니까",Positive (60%),"정원오, 다시, ㅋㅋㅋ",False
