시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0013V0,삼진식품,21000,,7599,,+176.32%,277,장외에서[5] / 끔이 현실로?[2] / 오뎅회사 무시하지마라!![1] / 영업이익 72억 오뎅집이,Negative (68%),"오뎅, 비교기업을, 사조씨푸드(시가",False
KOSDAQ,0099W0,미래에셋비전스팩11호,4040,,2000,,+102.00%,89,5천원 넘길줄알고 존버하다가[1] / 한방에 쏘려고 / 그래도 미래에셋인데 / 4700,Positive (77%),"이상, 상승했어요, 2천원",False
KOSPI,012200,계양전기,3445,2.35%,2040,2.47%,+30.00%,42,시장에서는 완전히 로봇관련주라고 평가하... / 내 백만원이[1] / 계약간이2030년까지  완전대박 텐버거... / 3연상 달성 성공 축하.,Positive (83%),"시장에서는, 완전히, 로봇관련주라고",False
KOSDAQ,319400,현대무벡스,16640,1.00%,13600,1.51%,+22.35%,256,220퍼수익중[3] / 오늘 장대음봉 예상 해봄 / 얘들아 미춌따 / 현대무백스가 로봇 대장주네 오늘 상한가 간다.,Positive (60%),"오늘, 로봇, 이상",False
KOSDAQ,100790,미래에셋벤처투자,20700,1.47%,14240,1.19%,+21.19%,276,스페이스X의 IPO 최대수혜[4] / 내가 얘기했잖아..나 신용 몰빵충이라고[2] / 투경이 문제다[3] / 넥스트장  9%에 다 팔었다..[2],Mixed,"스페이스X, 오늘, ...",False
KOSDAQ,264850,이랜시스,7490,3.73%,5810,2.96%,+18.89%,84,"삼성전자 로봇의 숨은 축…이랜시스, 이제 실적... / 1년 박스권을 뚫어냄 / 상한가 10초컷 / 삼성전자 로봇 찐 벨류체인에 들어가는",Positive (81%),"이상, 이제, 로봇",False
KOSDAQ,0101C0,하나36호스팩,2235,,2000,,+11.75%,133,진짜 / 내가사서 반토막이다ㅋㅋ / 망할것[1] / 위로,Positive (75%),"지금, 하니36호도, 5천원",False
KOSDAQ,049630,재영솔루텍,3100,2.67%,2775,2.78%,+11.71%,47,왠일? 100조 규모시장 / 여러분[2] / 인생역전할 기회[1] / 내년 2월까지,Positive (71%),"상한가, 이상, 상승했어요",False
KOSPI,001430,세아베스틸지주,48900,6.19%,45350,6.50%,+11.26%,44,배포가 작아서 15프로만 먹고 빠집니다[2] / 환율과 우량함으로 결국 대장한다. / 대장주 나노팀 폭락[1] / 꼴찌주[1],Mixed,"오늘, 이상, 상승했어요",False
KOSDAQ,203400,에이비온,3005,1.97%,2860,2.19%,+10.89%,60,시총 5조원이 적정 / 계약금공시[1] / 알테오젠 에이비엘 리가켐 / 상한가,Mixed,"이상, 오늘, 상승했어요",False
KOSDAQ,488900,비츠로넥스텍,12160,1.12%,10100,0.90%,+9.55%,43,"13층에서 오지게 물렸뿟네 올라올까요?[1] / 더 갈수밖에없는 이유,,,[1] / 대체거래소 우주 대폭발 + 럼프 핵융합 / 계단식",Positive (87%),"이상, 상승했어요, 오늘",False
KOSDAQ,466100,클로봇,70900,5.21%,63700,4.88%,+8.58%,102,클로보티즈[2] / 주주들은 좋겠네 ㅎ / 클로봇 30만원 목표 / 내 생각보다..더 클놈인듯..,Positive (66%),"대장, 오늘, 로봇",False
KOSDAQ,090710,휴림로봇,5900,2.16%,5480,2.25%,+6.88%,46,오늘휴림로봇 상한가 가능성높음[3] / 더도말고 덜도말고 일단 8천원은 찍어라 / 오늘부터[2] / 오늘[1],Positive (100%),"일단, 상한가, 오늘[1]",False
KOSDAQ,293580,나우IB,1603,0.40%,1436,0.57%,+6.51%,41,●정원오 혈족 대장주(정지완회장 친족)● / 나우IB는 원래 한동훈 테마주[3] / 주린이들 오늘 아침에 시장가에 풀배팅 진행시켜!... / 삼진식품... IPO 대성공~~ 나우IB 잭팟 터...,Positive (100%),"미래에셋, 삼진식품, 나우IB는",False
KOSPI,000390,삼화페인트,9180,10.71%,7930,11.22%,+6.50%,71,종가 상한가 / ^^반도체관련주^^[3] / 윤씨도 있지만 kcc도 지분경쟁 들어올수도[1] / 경영권 분쟁을 실제로 하든말든,Positive (66%),"윤씨, 이상, 종가",False
KOSDAQ,098460,고영,25200,18.74%,23900,19.34%,+6.33%,118,의료 로봇[1] / 혼자 또 / 이놈은 사고싶지가않음... / 서서히,Negative (66%),"개잡주, 프로그램, 오늘",False
KOSPI,000660,SK하이닉스,575000,53.33%,552000,53.37%,+5.12%,229,투경이랑 거래정지 헛갈리지 마라 / 거래소 없어져야 대한민국 주식시장 살아납니다...[2] / 진짜 큰거 한방은 1월에 나옵니다 / 백만닉스라는 말이[1],Negative (53%),"투경, 삼성전자, 거래정지",False
