시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,000390,삼화페인트,7930,11.29%,5990,11.33%,+30.00%,204,츄고쿠 페인트 9.19%가[2] / 내일 더크게 갈검니다..[2] / 좀이따 삭제하게씀다,Positive (66%),"경영권, 상한가, 명복을",False
KOSDAQ,223250,드림씨아이에스,7030,51.74%,5820,51.44%,+29.94%,135,실제거래는 29%인 690만주만 / = 매도 할 사람들 빨리 시간외= / 8배터진 로킷.프로티.토모는 모두적자...,Positive (69%),"오늘, 이상, 상승했어요",False
KOSDAQ,100790,미래에셋벤처투자,14240,1.98%,10390,2.59%,+29.93%,430,앞으로 한동안 상이라고 본다[1] / 내일도 기대 되는데요 ..ㅎㅎ / 내일 갭 5퍼 이내로 부탁해,Positive (55%),"오늘, 상한가, 어제",False
KOSPI,067830,세이브존I&C,4060,9.06%,3185,9.24%,+29.92%,142,상잔량 못 쌓는 이유 ㅋㅋ[1] / 창사  24년 만에  첫 상한가 축하해요...[1] / 상잔량적고 시간외단일가 거래거의말랏는디[1],Positive (61%),"이상, 상승했어요, 내일",False
KOSDAQ,027360,아주IB투자,3305,0.50%,2700,0.48%,+22.41%,316,요즘은 지분테마가 유행 / 단일가에   무지파네 / 이  구간부터는,Positive (61%),"오늘, 미래, 이상",False
KOSDAQ,478340,나라스페이스테크놀로지,31200,0.09%,27149,,+14.92%,552,내일도 기대 되는데요 ..ㅎㅎ / 또... / 걍 1만원대까지 빼주믄 안됨?,Positive (50%),"어제, 오늘, 상한가",False
KOSPI,128820,대성산업,11810,1.51%,8030,1.55%,+13.23%,800,시외[1] / 걱정마라 내일 천일이 쩜상이다 / gosu 보고있나?,Positive (56%),"하한가, 오늘, ...",True
KOSDAQ,319400,현대무벡스,13600,0.96%,11900,1.02%,+9.85%,699,시간외 귀엽다 ㅋ 쫄꺼없다 무빙장중에... / 근데요 / 진짜 모르겠다 ㅋㅋ,Negative (55%),"오늘, 진짜, 오늘은",False
KOSPI,006800,미래에셋증권,22100,10.65%,21400,10.90%,+8.07%,165,"매매동향 (12/18) / 허매도 깔아놓고, 물량 거둬가는 수법 / 내일도 간다",Mixed,"오늘, 어제, 미래에셋",False
KOSPI,001520,동양,878,1.68%,820,1.65%,+7.60%,246,자산주 시작이라는거 잊지 마라[1] / 우선주 끝까지 상한가 안풀고 있는거 보면 몰러 ㅋ / 잡주에 먼 말을 ㅋ,Positive (53%),"동양, 오늘, 우선주",False
KOSPI,452260,한화갤러리아,1543,1.51%,1110,1.39%,+6.93%,575,김동선  M&A  조직신설:  뭐  하려는 걸까...[1] / 요즘은 2시30분 쌍바닥 매매가 안먹히네~~[2] / 명품관    여자귀족들의    갤러리아   청담...,Positive (55%),"오늘, 이거, 상한가",False
KOSDAQ,950220,네오이뮨텍,706,2.44%,665,2.67%,+5.85%,163,솔직히 지금 가격에서[1] / 12/18 장 요약: 희귀질환 판권 확보 /...[2] / N자 실패다 그럼 뭐다?[3],Positive (51%),"상한가, 오늘, 이상",False
KOSDAQ,038460,바이오스마트,3850,1.86%,3720,3.27%,+4.34%,139,내일은[1] / 시간외보니[1] / 꽃피는 봄,Positive (62%),"내일, 정원오, 시간외",False
KOSDAQ,064260,다날,6930,7.06%,6550,7.22%,+2.82%,308,아마도 / 다날은 적자에 돈만날리네 / 주가가 떨어져서,Positive (60%),"다날, 써클, 스테이블코인",False
KOSDAQ,466100,클로봇,63700,6.95%,63800,7.46%,+1.76%,542,클로봇 신제품 ai예수봇 출시[1] / 로보트 대장주 아이엘로 오세요. / ,Mixed,"오늘, 클로봇, ...",False
KOSDAQ,082850,우리바이오,2280,2.46%,2115,2.60%,+1.56%,140,내일 2420원 / 오늘 트럼프 싸인 / 3일 매집했으니,Positive (66%),"트럼프, 오늘, 마리화나",False
KOSPI,000660,SK하이닉스,552000,53.34%,530000,53.32%,+0.18%,800,주식회사의 주인은 주주인데[2] / 경고인데 / SK하이닉스 분들 모여 얘기중이네요,Negative (51%),"마이크론, 오늘, 하이닉스",False
KOSPI,005930,삼성전자,107600,52.12%,102800,52.07%,-0.28%,800,"사법부에 침투한 반국가집단들아,모든게 다 드러... / 장동혁은 김문수꼬붕 아니었나? ㅋㅋㅋ / 속보) 휴대폰 개통시 안면인식 의무화..",Negative (55%),"..., 마이크론, 삼전",False
KOSDAQ,293580,나우IB,1436,1.00%,1371,2.01%,-0.97%,123,정답은 왼짝에 있다고 세번째 말하자나 일마들아.[1] / 하한가쳐맞고 독박이나써라[1] / 1223[2],Positive (66%),"정원오, 진짜, 오늘",False
KOSPI,034020,두산에너빌리티,74500,22.41%,77300,22.49%,-1.32%,381,"매집 들 됐냐? / 다들 투경 해제되면... / 외인, 기관은 가격 관리 중[1]",Negative (54%),"투경, 오늘, 내일",False
KOSPI,217590,티엠씨,18190,2.32%,21800,2.27%,-2.41%,143,이회사  갈려면  어디를  봐야하냐 / 연기금이 주가 올리는 세력이 될수 있냐? 퉷 / 진짜  걱정되는데,Negative (54%),"ㅋㅋ, 오늘, 종가",False
KOSPI,010140,삼성중공업,23800,30.48%,24900,30.57%,-2.66%,134,범죄자 사기꾼 째씨 탄핵만이 답이다.[2] / 빚투로 국민들 파산시킨 째씨를 감옥으로~ / 사기꾼 한국주식[2],Negative (76%),"이제, 삼성중공업, ...",False
KOSPI,018880,한온시스템,3045,5.13%,3325,4.97%,-3.18%,111,"개미들은 건들지 마라 / 공매 물량 6,800만주 다 처맞아야 ... / 5년째 대세 하락 차트에다 분지형 차트...",Negative (64%),"유증, 유증가, 내일",False
