시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0007C0,아크릴,67000,,19499,,+243.59%,800,막판에 힘 남은 종목이 갈립니다 / 찬티가… / 이거라니까요;;;,Negative (52%),"아크릴, ㅋㅋ, 상한가",False
KOSPI,217590,티엠씨,21800,2.27%,16770,,+29.99%,323,연말까지 쭉 말아올릴건데[2] / 돈 쓸어 담는 구나 / 오랬만 상따를해보네 ㅋ,Positive (61%),"상한가, ㅋㅋ, 오늘",False
KOSDAQ,464490,쿼드메디슨,20250,0.08%,17630,0.08%,+18.70%,359,애매하게 주차하네 / 18700부근을 주목 / 조막손은 아닌것같고,Positive (61%),"ㅋㅋ, 오늘, 상한가",False
KOSPI,004310,현대약품,6880,1.61%,6090,1.46%,+8.69%,155,마지막 계속오르네  내일 위더스점상인가 / 현대약품 언제 뺄지 고민중이라면...?????... / 오늘은 탈출에 만족,Positive (83%),"탈모, (((, 대통령",False
KOSDAQ,347700,스피어,12530,2.61%,11360,2.50%,+4.07%,142,"■단독■트럼프관세정책영향■계약기간 정정 연장이...[1] / ■단독■사채 추가상장 1,910원■700%대 ...[1] / 더사고싶은데 연말 상여금 나오면..",Positive (71%),"오늘, 이상, 개미들",False
KOSDAQ,0009K0,에임드바이오,72400,1.34%,55900,1.45%,+2.70%,457,에임드바이오 1200명 주주톡[1] / 에임드바이오 1200명 주주톡[1] / 내일 장중,Mixed,"오늘, 삼성, 개미들",False
KOSDAQ,319400,현대무벡스,11900,1.36%,11290,1.83%,+2.15%,708,끝났네 / 현대무벡스 1200명 주주톡[1] / 킅났는데 희망회로 그만돌리자,Negative (62%),"오늘, ..., ㅋㅋ",False
KOSDAQ,003310,대주산업,2235,3.96%,1693,6.54%,+1.59%,264,"주포가 단기과열 안걸릴려구 작업하는데 / 코스피, 코스닥  박살~~ / 필요한 자리 /-필요한 타이밍 확실하네요",Negative (51%),"정원오, 오늘, 상한가",False
KOSDAQ,049630,재영솔루텍,3070,5.14%,2730,4.44%,+0.82%,117,안티들 응급실갓나?[1] / 막판에 3050원에서 / 몰라 계속 올려주니 감사할따름 ㅋㅋ,Negative (57%),"오늘, ㅋㅋ, 외국인",False
KOSPI,034020,두산에너빌리티,77300,22.56%,79700,22.71%,+0.26%,656,이거 아는분 있나???[2] / 다른거없다 / 깝치다 도루묵이쥬?[1],Positive (50%),"오늘, 투경, 갑자기",False
KOSPI,005930,삼성전자,102850,52.11%,108900,52.24%,-1.86%,800,우와 / 코스피 4천을 지켜라 / 참나..지금은 완존,Negative (65%),"..., 지금, 코스피",False
KOSDAQ,191410,육일씨엔에쓰,2520,0.99%,2000,1.57%,-3.08%,139,이제 재료가 반영되는 구나 / 뚜렷하네요 / 오늘 못 먹은 건,Negative (52%),"정원오, 이상, 상한가",False
KOSPI,000660,SK하이닉스,533000,53.41%,571000,53.38%,-3.79%,756,"괜히 하닉이 투자경고 겠냐구요 / 메린리치, 프매 담당자야..  정신 버짝 들지... / 이제 바닥냄새가 솔솔 나지?",Negative (59%),"오늘, ..., 하락",False
KOSPI,249420,일동제약,39000,7.72%,44300,10.37%,-4.53%,264,개떵보다 못한 일떵이건 빅팜이 쳐다도...[1] / 오늘 / 낼부터 급등이다.,Positive (51%),"일동, 오늘, ...",True
KOSDAQ,090710,휴림로봇,5770,4.83%,5850,4.84%,-8.12%,101,휴림로봇  【( 익 일 ) 확 //실】[1] / 휴림. 망하나요 / 내일 갭 하락만 아니먄,Negative (63%),"오늘, 이제, 휴림로봇",False
KOSDAQ,038500,삼표시멘트,4850,1.73%,5380,1.55%,-10.02%,377,넬부터 상이네[1] / 내일은 5200 ~ 4400 / 망했다 이건 끝,Positive (64%),"정원오, 상간다, 오늘",False
KOSPI,092200,디아이씨,12450,5.19%,12050,3.32%,-10.69%,169,친구 어머니 장례식..[3] / 개미탕이네[2] / 이제,Positive (55%),"오늘, 어제, 세력들",False
