시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,000390,삼화페인트,7930,11.29%,5990,11.33%,+30.00%,142,주가가 오르지 않으면 경영권 방어가 어렵습니다 / 분쟁테마 / 경사가 터졌군!,Positive (72%),"경영권, 상한가, 이상",False
KOSDAQ,100790,미래에셋벤처투자,14240,1.98%,10390,2.59%,+29.93%,335,"""한국 자동차 3위를 지켰던 기업"" 쌍용자동차... / 주포형 이달안에 2만원까지만 부탁드려요. / 갈때까지 가보자",Positive (56%),"오늘, 상한가, 스페이스X",False
KOSDAQ,027360,아주IB투자,3370,0.50%,2700,0.48%,+24.81%,135,이거이 백퍼 과학자들 투자펀드네 / 스페이스x가 지분투자 100억 200억 받것냐? ... / 🌈주식으로 망한 사람 회복 {프로젝트}[4],Positive (72%),"이상, 상승했어요, 스페이스x",False
KOSDAQ,478340,나라스페이스테크놀로지,33375,0.09%,27149,,+22.93%,256,"아무리 바보라도 / 마지막 탈출 기화 / ""대한민국 최고의 기업을 만든 회장"" 이건희...",Negative (51%),"어제, 오늘, 상한가",False
KOSPI,001520,동양,988,1.68%,820,1.65%,+21.08%,84,들고 계신분들은 보셔야겠네요 / ㅎ / 20% 이상 상승했어요 🎉,Positive (75%),"동양우, 이상, 상승했어요",False
KOSPI,452260,한화갤러리아,1687,1.51%,1110,1.39%,+16.91%,308,이제 / 🌈주식으로 망한 사람 회복 {프로젝트}[2] / 압구정 갤러리아가서,Positive (60%),"상한가, 오늘, ㅋㅋㅋ",False
KOSDAQ,950220,네오이뮨텍,726,2.44%,665,2.67%,+8.85%,113,설거지 또 당하나요?? / 단타들 대 탈출 시작이네 / 개미들 올라타게 한 종목은 끝이다[1],Positive (57%),"상한가, 오늘, 이상",False
KOSPI,006800,미래에셋증권,22000,10.65%,21400,10.90%,+7.58%,88,ㅋㅋ / 다팔았다 / 이게바로[1],Positive (64%),"스페이스X, 오늘, 상한가",False
KOSDAQ,038460,바이오스마트,3945,1.86%,3720,3.27%,+6.91%,73,정원호 대장은 / 대마 불사만 보면 돼 / 나우도 찌그러지고 의외로 바스가 급등할...,Positive (63%),"..., 정원오가, 시공사에서",False
KOSDAQ,082850,우리바이오,2395,2.46%,2115,2.60%,+6.68%,128,공매도 / 운전 지리네 / 그동안 오른것도 없다,Positive (57%),"트럼프, 오늘, 마리화나",False
KOSDAQ,319400,현대무벡스,13080,0.96%,11900,1.02%,+5.65%,350,프매 다 털어간다야 ㅋㅋ / 슈팅나올 자리아닌가~~ / 외쿡형들,Negative (66%),"오늘, 오늘은, 진짜",False
KOSDAQ,064260,다날,7120,7.06%,6550,7.22%,+5.64%,212,수수료 챙겨나옴 / 그랗게 탈출 기회를줘도 / 모두 다 팔고 꺼져라  단타쟁이들[1],Positive (63%),"다날, 스테이블코인, 써클",False
KOSPI,217590,티엠씨,19510,2.32%,21800,2.27%,+4.67%,75,■ 게시판 사기꾼들 봐라 ~ 미국공장 현재 가동...[1] / 호가창 드럽네[1] / 일봉상 매일 저점 높이는 중,Positive (75%),"ㅋㅋ, 미국, 오늘",False
KOSDAQ,293580,나우IB,1511,1.00%,1371,2.01%,+4.21%,77,만약[2] / 역시!!!![1] / 그저 지나가던 동호회,Positive (64%),"정원오, 오늘, 창투사",False
KOSPI,128820,대성산업,10600,1.51%,8030,1.55%,+1.63%,800,주식 어렵네 / 5천원대에도 8천원대에 털때도 털리지 마라... / 스페이스x 2200조상장,Positive (52%),"어제, 상한가, 하한가",True
KOSPI,000660,SK하이닉스,555000,53.34%,530000,53.32%,+0.73%,739,"마이크론 실적이 중요한게 아니지 / 하이닉스는 매수하지말라고 없네 ㅋㅋㅋ / ""대한민국 최고의 기업을 만든 회장""...",Negative (62%),"마이크론, 오늘, ...",False
KOSDAQ,466100,클로봇,63000,6.95%,63800,7.46%,+0.64%,392,윗꼬리 대박^^ / 연말까지 쭈욱 말아올릴듯..[1] / 조정후,Negative (52%),"오늘, 클로봇, ...",False
KOSDAQ,038500,삼표시멘트,4920,1.56%,4850,1.44%,-1.60%,255,뉴스뜨면    상한가   전부  팔고 ... / 성수동파가 다 상승하네.. / 대성산업 쳐올릴때 따라가서 자산인가 싶...,Negative (57%),"오늘, 어제, 대성",False
KOSPI,005930,삼성전자,106150,52.12%,102800,52.07%,-1.62%,800,어제 이시간때[1] / 엔화의 반격 ㅡ쾍! / 연기금 갸얘들 쫄았냐,Positive (53%),"마이크론, 오늘, ...",False
KOSPI,034020,두산에너빌리티,74100,22.41%,77300,22.49%,-1.85%,276,수주 / 형이 말했지~ 매도 치라고 / 이런 쓰레기,Positive (51%),"오늘, 투경, ...",False
KOSDAQ,030530,원익홀딩스,31350,4.00%,34550,4.98%,-1.88%,205,퇴각하라 / 산타 언제오시는지 아시는분?? / 오후 양봉 가보아요 ~,Negative (70%),"오늘, 물량, 프로그램",False
KOSPI,010140,삼성중공업,23825,30.48%,24900,30.57%,-2.56%,72,조선업 완벽하게 끝났네요 ㅋㅋㅋㅋ 이래서 대한민...[1] / 얘는 / 판단[1],Negative (70%),"조선업, 오늘도, 진짜",False
KOSPI,018880,한온시스템,3035,5.13%,3325,4.97%,-3.50%,68,일단 / 성군백호(구.사노피)[1] / 유증 약 3000주 포기 합니다 ㅠ,Negative (63%),"유증, 유증가, 공매도",False
KOSPI,015760,한국전력,48850,23.10%,50300,23.00%,-4.59%,111,25년에는 배당락 없음 / 대통령이....한전 독점을 별로 안 좋아한다.. / 한국전력 나왔네요..[2],Negative (61%),"전기요금, 오늘, 한전",False
KOSPI,006340,대원전선,3765,3.49%,4025,4.37%,-4.92%,69,환장하겠네[2] / 만공아 매수 타이밍이냐ㅋ / 내일도 악재공시 나온다ㅋ[1],Negative (76%),"만공아, 제주, 박스야",False
KOSDAQ,464490,쿼드메디슨,23200,0.50%,20250,0.28%,-5.50%,330,"도대체 물량이 어디있어서 밥도 안먹고 / ""사람 대신 AI가 일 한다."" 대한민국 일자...[1] / 주식은 항상 의심하고 경계해야된다",Positive (53%),"오늘, 어제, 알지",False
KOSDAQ,317240,TS트릴리온,305,3.06%,262,2.97%,-10.29%,76,보면놀라실껄요.. / 지금 사면 오늘 40% 먹는다[1] / 주주들 탈모 생기게 만든 주식인데[2],Negative (61%),"탈모, 오늘, 유증",False
KOSDAQ,260660,알리코제약,4490,4.06%,3885,4.71%,-11.09%,64,와우 끝없는 심연이네? 쩐주가 뒤도 안돌아보네 / 이노진[1] / 와. .뭐 이런 잡주가 있냐,Negative (60%),"전환사채, 여기, 이상",False
