date,code,name,nid,title,likes
20260728,475150,SK이터닉스,426429020,"꼭, 조심해야 할 부분은 알고 가야겠쥬~?...",0
20260728,475150,SK이터닉스,426428949,오늘 이터밖에 갈거 없다 가즈아 ㄱㄱㄱ,0
20260728,475150,SK이터닉스,426428481,투주도 해제 됏고 공매도 못 치고,0
20260728,475150,SK이터닉스,426428208,돔황쳐..,1
20260728,475150,SK이터닉스,426427979,고점에서 거래량 폭발은?,0
20260728,475150,SK이터닉스,426427943,오늘도 하한가인가여?,2
20260728,475150,SK이터닉스,426427841,대통령께 글써야지 저것들 잡으라고,0
20260728,475150,SK이터닉스,426427701,오늘 sk이터[1],5
20260728,475150,SK이터닉스,426427646,슬쩍 반등 하려는거 보여줄듯 말듯하다가,1
20260728,475150,SK이터닉스,426427573,오늘 하닉 삼전 초급락 빠진게 이터에겐 기회...,5
20260728,475150,SK이터닉스,426427334,부럽다 그래도 니네는 탈출 기회라도 다줬지,0
20260728,475150,SK이터닉스,426427150,하방vi,3
20260728,475150,SK이터닉스,426427146,오늘 한 10프로만더빠져보자,2
20260728,475150,SK이터닉스,426427121,쫄지마라.[1],3
20260728,475150,SK이터닉스,426427108,신재생에너지 세계일등 이터닉스 미국증시 신재...[2],6
20260728,475150,SK이터닉스,426427087,학생입니다 첫 주식인데[1],0
20260728,475150,SK이터닉스,426427078,과연...,0
20260728,475150,SK이터닉스,426426965,인버닉스.,1
20260728,475150,SK이터닉스,426426402,일단[1],3
20260728,475150,SK이터닉스,426426393,누가 장전시외 409주나 샀나?[2],2
20260728,475150,SK이터닉스,426426317,얘들아..생각을해 ㅋㅋ[1],1
20260728,475150,SK이터닉스,426426166,●● 아침부터 NXT장 반도체주 폭락...,2
20260728,475150,SK이터닉스,426425984,복구가능...[1],1
20260728,475150,SK이터닉스,426425906,개열불이 터진다 그냥ㅋㅋ[2],4
20260728,475150,SK이터닉스,426425881,윗꼬리장대음봉 담날 반등봤냐?[1],2
20260728,475150,SK이터닉스,426425871,러우전쟁,3
20260728,475150,SK이터닉스,426425178,공매도 못하게 해서 좀 나을라나[1],3
20260728,475150,SK이터닉스,426425001,어제 하따한 물량들 패를 까네 ㅎㅎ,0
20260728,475150,SK이터닉스,426424950,참교육,2
20260728,475150,SK이터닉스,426424681,오늘 반도체 떡락!![1],3
20260728,475150,SK이터닉스,426424645,앞자리 3 바라봅니다,3
20260728,475150,SK이터닉스,426424604,토론글이 많아졌다는 것 그것 중요포인...,0
20260728,475150,SK이터닉스,426424532,두암잭슨이어디갓니,1
20260728,475150,SK이터닉스,426424440,시초에 반대매매,1
20260728,475150,SK이터닉스,426424439,장전매도물량 벌써 8만주,5
20260728,475150,SK이터닉스,426424360,오늘 얼마까지 떨어질까 맞춰보자~![1],1
20260728,475150,SK이터닉스,426424318,아침 든든하게 묵고왔나?[1],0
20260728,475150,SK이터닉스,426424249,아직 거래량 안터졌습니다 반등 타이밍...[1],4
20260728,475150,SK이터닉스,426424217,장전 시외물량도 많이 쌓였고,4
20260728,475150,SK이터닉스,426424069,유가 빠졌어도 오늘은 하한가 안감[1],2
20260728,475150,SK이터닉스,426423925,시초가 마이너스 6~8% 시작이다,3
20260728,475150,SK이터닉스,426423505,1주라도 살 재료가 있냐?기술적반등?,2
20260728,475150,SK이터닉스,426423257,조심해라~오늘 시장 엉망이다..,4
20260728,475150,SK이터닉스,426423229,쫄거 하나도 없다[2],8
20260728,475150,SK이터닉스,426423186,양전하면 고마운 일이지.[1],2
20260728,475150,SK이터닉스,426423019,갭하락후 상승 예상,3
20260728,475150,SK이터닉스,426422918,퓨어셀 4프로급등,0
20260728,475150,SK이터닉스,426422690,오늘은,2
20260728,475150,SK이터닉스,426422566,오늘 목표,1
20260728,475150,SK이터닉스,426422440,두산퓨얼셀???[1],1
20260728,475150,SK이터닉스,426422381,두산퓨얼셀 양전,1
20260728,475150,SK이터닉스,426422280,오늘도[1],1
20260728,475150,SK이터닉스,426422129,-30%  젓댔다,1
20260728,475150,SK이터닉스,426422113,야는보합수준 이겠네[1],0
20260728,475150,SK이터닉스,426421949,인버스 이터닉스 오늘은 상한가,2
20260728,475150,SK이터닉스,426421710,상한가,1
20260728,475150,SK이터닉스,426421451,두산 퓨어셀 상승전환,4
20260728,475150,SK이터닉스,426421396,두퓨 급등!!,2
20260728,475150,SK이터닉스,426421255,유가폭등 이란핵폭탄 터트렸나,0
20260728,475150,SK이터닉스,426421214,오늘내일 조정은 당연한거아님?^^,0
20260728,475150,SK이터닉스,426420932,오늘 주총아닌가?,0
20260728,475150,SK이터닉스,426420626,오늘 장 열리면 바로 갭하락 나올거다 ㅋ,4
20260728,475150,SK이터닉스,426420604,23일에 올랐던 에너지 관련주 전부 하락,2
20260728,475150,SK이터닉스,426420269,SK하이닉스 일시적 하한가 VI 발동 구경하고[1],0
20260728,475150,SK이터닉스,426420032,너는 짖어라 난 안듣는다[1],6
20260728,475150,SK이터닉스,426419983,세력이 겁이많긴 많아,2
20260728,475150,SK이터닉스,426419872,오늘 국장 초토화될것![2],1
20260728,475150,SK이터닉스,426419835,현대힘스8프로 급등,0
